id,row,role,index,x_mm,y_mm,pad_dia_mm,hole_dia_mm,drill_est_mm,hole_dia_nominal_mm,hole_dia_residual_mm,inferred,picked,probed,two_sided,roundness,kind,x_px,y_px
14,0,pin,0,0.041334443061975985,0.017227890111292405,1.826354682850207,1.5016562399200595,1.5516562399200595,1.1,0.45165623992005943,False,True,False,True,0.8711972891823017,through-hole,799.3997785548548,3057.7438459049363
3,0,pin,1,2.495124614733704,-0.0018979288742389765,1.6260789632369232,0.9730630735201473,1.0230630735201474,1.1,-0.07693692647985273,False,True,False,True,0.7882525334330972,through-hole,797.8543049969263,2917.635653490494
6,0,pin,2,5.084886433844611,0.004826614301821594,1.6902072799725005,0.9832316971660181,1.033231697166018,1.1,-0.06676830283398205,False,True,False,True,0.9681685313822527,through-hole,797.7449359452315,2769.9957515600977
5,0,pin,3,7.602168539703602,0.0026773598767640227,1.5916438739288383,0.9656273552921362,1.0156273552921362,1.1,-0.08437264470786388,False,True,False,True,0.7480417235121554,through-hole,797.1489059138459,2626.7290800606975
7,0,pin,4,10.177487047597742,0.011275183351901495,1.7146943367136749,1.0154439568665259,1.065443956866526,1.1,-0.03455604313347416,False,True,False,True,0.9571750892045356,through-hole,797.1485995786747,2480.3967407317714
16,0,pin,5,12.665864198503394,-0.035392505154822354,1.6967168347270793,1.0498801964838926,1.0998801964838927,1.1,-0.00011980351610740847,False,False,True,True,0.9234501694600595,through-hole,794.0526128607229,2339.2610677931216
9,0,pin,6,15.28743818865796,0.018575621316666395,1.551904593284911,1.0424199883890617,1.0924199883890617,1.1,-0.007580011610938353,False,True,False,True,0.969087777858833,through-hole,796.5988993219546,2190.7698560390413
10,0,pin,7,17.766046185235474,-0.01706387056505244,1.4113592383646243,0.6748019171431666,0.7248019171431667,1.1,-0.3751980828568334,False,True,False,True,0.8626774260460017,through-hole,794.1302720980315,2050.648555760784
1,1,pin,0,-0.0308263393491688,15.224664739314914,1.6079016951144165,0.9936992577954185,1.0436992577954185,1.1,-0.05630074220458159,False,True,False,True,0.9201197899210148,through-hole,1660.8930212064859,3056.274205378164
11,1,pin,1,2.5371615326873127,15.238167704683478,1.4959617652499946,0.9895351631791287,1.0395351631791288,1.1,-0.06046483682087134,False,True,False,True,0.9556920275408383,through-hole,1660.450881455588,2909.3644342968146
12,1,pin,2,5.074205654388607,15.22682198482416,1.6728851603035544,0.9865854022479437,1.0365854022479437,1.1,-0.06341459775205638,False,True,False,True,0.8301216919561805,through-hole,1658.6161073768574,2764.4754546532026
4,1,pin,3,7.611210664970805,15.243301570057781,1.6352001406718095,1.0095479421794735,1.0595479421794736,1.1,-0.04045205782052652,False,True,False,True,0.9122281948158133,through-hole,1658.3596329033037,2619.816399593489
8,1,pin,4,10.258061631961363,15.258087387228292,1.6487208241819238,1.083229161007499,1.1332291610074992,1.1,0.033229161007499064,False,True,False,True,0.9473395339014743,through-hole,1657.9563377558022,2469.1485301900893
17,1,pin,5,12.702163883745083,15.228858854865546,1.6977864640484641,1.0319023080479752,1.0819023080479753,1.1,-0.01809769195202482,False,False,True,True,0.9829896254248941,through-hole,1655.1609328656773,2330.2707277281115
0,1,pin,6,15.242127635782026,15.25547692005827,1.688516554245445,1.0251921579387793,1.0751921579387793,1.1,-0.024807842061220775,False,True,False,True,0.9154003126675679,through-hole,1655.479087466278,2186.1533232927177
2,1,pin,7,17.725540746044327,15.24439145537424,1.7666794959931542,1.0767807863196674,1.1267807863196675,1.1,0.026780786319667405,False,True,False,True,0.9630089930158856,through-hole,1653.6956170618926,2045.4911995443072
